Index,Global_active_power KW,Sub_metering_1 J,Sub_metering_2 J,Sub_metering_3 J
239,2.542,0,0,18
240,2.82,0,0,17
241,3.41,0,0,17
242,3.392,0,0,17
243,2.878,0,0,17
244,1.848,0,0,18
245,3.494,0,0,17
246,3.42,0,0,17
247,3.226,0,0,18
248,1.948,0,0,17
249,3.392,0,0,17
250,3.368,0,0,17
251,3.378,0,0,17
252,1.872,0,0,18
253,3.212,0,0,17
254,3.346,0,0,17
255,3.308,0,0,17
256,3.302,0,0,17
257,2.36,0,0,18
258,2.652,0,0,17
259,3.392,0,1,17
260,3.398,0,2,17
261,3.424,0,1,17
262,1.86,0,2,18
263,3.25,0,1,17
264,3.502,0,1,18
265,3.484,0,2,17
266,3.478,0,1,17
267,1.696,0,2,17
268,3.494,0,1,17
269,3.482,0,1,17
270,3.48,0,2,17
271,3.474,0,1,17
272,2.308,0,1,18
273,2.926,0,2,17
274,3.472,0,1,17
275,3.48,0,1,17
276,3.454,0,2,17
277,3.464,0,1,17
278,1.786,0,1,18
279,3.182,0,1,17
280,3.378,0,2,17
281,3.372,0,1,17
282,3.362,0,1,17
283,3.112,0,1,17
284,1.614,0,0,17
285,3.358,0,0,17
286,3.388,0,0,17
287,3.392,0,0,17
288,2.81,0,0,18
289,2.18,0,0,17
290,3.37,0,0,17
291,3.326,0,0,17
292,2.778,0,0,9
293,2.358,0,0,0
294,0.96,0,0,0
295,1.606,0,0,0
296,2.35,0,0,0
297,2.428,0,0,0
298,2.078,0,0,0
299,0.78,0,0,0
300,2.426,0,0,0
301,2.412,0,0,0
302,2.428,0,0,0
303,1.53,0,0,0
304,1.388,0,0,0
305,2.424,0,0,0
306,2.428,0,0,0
307,2.388,0,0,0
308,0.376,0,0,0
309,2.202,0,0,0
310,2.43,0,0,0
311,2.346,0,0,0
312,1.916,0,0,0
313,0.384,0,0,0
314,2.334,0,0,0
315,2.32,0,0,0
316,2.306,0,0,0
317,2.306,0,0,0
318,0.436,0,0,0
319,1.584,0,0,0
320,2.328,0,0,0
321,2.326,0,0,0
322,2.334,0,0,0
323,1.846,0,0,0
324,0.284,0,0,0
325,2.342,0,0,0
326,2.392,0,0,0
327,2.414,0,0,0
328,2.414,0,0,0
329,0.754,0,0,0
330,1.42,0,0,0
331,2.468,0,0,0
332,2.474,0,0,0
333,2.488,0,0,0
334,1.81,0,0,0
335,0.674,0,0,0
336,2.444,0,0,0
337,2.41,0,0,0
338,2.412,0,0,0
339,2.206,0,0,0
340,0.37,0,0,0
341,2.104,0,0,0
342,2.404,0,0,0
343,2.418,0,0,0
344,2.342,0,0,0
345,1.262,0,0,0
346,0.852,0,0,0
347,2.34,0,0,0
348,2.336,0,0,0
349,2.334,0,0,0
350,2.33,0,0,0
351,1.038,0,0,0
352,0.386,0,0,0
353,2.35,0,0,0
354,2.346,0,0,0
355,2.346,0,0,0
356,1.834,0,0,0
357,1.222,0,0,0
358,2.342,0,0,0
359,2.334,0,0,0
360,1.666,0,0,0
361,1.198,0,0,0
362,2.35,0,0,0
363,2.398,0,0,0
364,2.444,0,0,0
365,0.406,0,0,0
366,2.434,0,0,0
367,2.502,0,0,0
368,2.518,0,0,0
369,1.516,0,0,0
370,1.498,0,0,0
371,2.508,0,0,0
372,2.504,0,0,0
373,2.492,0,0,0
374,0.814,0,0,0
375,2.304,0,0,0
376,2.53,0,0,0
377,2.378,0,0,0
378,0.384,0,0,0
379,2.37,0,0,0
380,2.358,0,0,0
381,2.352,0,0,0
382,0.416,0,0,0
383,2.654,0,0,0
384,2.54,0,0,0
385,2.526,0,0,0
386,1.206,0,0,0
387,3.844,0,0,0
388,4.122,0,0,0
389,3.458,0,0,0
390,1.988,0,0,0
391,0.596,0,0,0
392,1.29,0,0,0
393,2.73,0,1,0
394,2.734,0,2,0
395,2.764,0,1,0
396,2.586,0,1,0
397,1.044,0,2,0
398,1.52,0,1,0
399,3.038,0,2,0
400,2.974,0,1,0
401,2.846,0,2,0
402,2.848,0,1,0
403,2.858,0,1,0
404,2.472,0,2,0
405,0.658,0,1,0
406,0.838,0,2,0
407,2.608,0,1,0
408,2.598,0,1,0
409,2.56,0,2,0
410,2.526,0,1,0
411,2.472,0,1,0
412,1.658,0,1,0
413,0.422,0,2,0
414,0.79,0,1,0
415,2.436,0,1,0
416,2.396,0,1,0
417,2.338,0,1,0
418,2.304,0,0,0
419,0.276,0,0,0
420,0.712,0,0,0
421,2.332,0,0,0
422,2.344,0,0,0
423,2.354,0,0,0
424,2.332,0,0,0
425,2.368,0,0,0
426,0.612,0,0,0
427,0.286,0,0,0
428,1.952,0,0,0
429,2.376,0,0,0
430,2.374,0,0,0
431,2.406,0,0,0
432,1.004,0,0,0
433,0.388,0,0,0
434,1.458,0,0,0
435,2.48,0,0,0
436,2.454,0,0,0
437,2.468,0,0,0
438,2.028,0,0,0
439,0.382,0,0,0
440,0.902,0,0,0
441,2.466,0,0,0
442,2.456,0,0,0
443,2.45,0,0,0
444,2.448,0,0,0
445,0.93,0,0,0
446,0.286,0,0,0
447,1.376,0,0,0
448,2.456,0,0,0
449,2.456,0,0,0
450,2.444,0,0,0
451,2.122,0,0,0
452,0.356,0,0,0
453,0.952,0,0,0
454,2.426,0,0,0
455,2.42,0,0,0
456,2.412,0,0,0
457,1.008,0,0,0
458,0.43,0,0,0
459,2.676,0,0,0
460,3.766,0,0,0
461,4.582,0,13,0
462,5.282,0,35,0
463,2.362,0,28,0
464,3.25,0,37,0
465,4.618,0,27,0
466,5.242,0,37,0
467,4.86,0,36,0
468,3.738,0,36,0
469,3.426,0,37,0
470,5.254,0,35,0
471,5.246,0,36,0
472,5.216,0,36,0
473,3.858,0,36,0
474,2.822,0,36,0
475,3.84,0,35,0
476,4.636,0,36,0
477,4.634,0,35,0
478,4.652,0,36,0
479,3.13,0,26,0
480,1.756,0,24,0
481,3.478,0,36,0
482,4.5,0,36,0
483,3.552,0,21,0
484,3.94,0,28,0
485,2.44,0,37,0
486,2.08,0,28,0
487,3.652,0,22,0
488,4.432,0,36,0
489,4.46,0,36,0
490,2.186,0,17,0
491,2.358,0,33,0
492,3.954,0,36,0
493,3.746,0,25,0
494,3.944,0,25,0
495,3.68,0,36,0
496,1.67,0,24,0
497,3.214,0,26,0
498,4.5,0,36,0
499,3.8,0,26,0
500,2.664,0,23,0
501,2.528,0,37,0
502,2.668,0,18,0
503,4.256,0,30,0
504,4.126,0,28,0
505,3.216,0,31,0
506,0.574,0,5,0
507,2.344,0,16,0
508,3.804,0,23,0
509,4.622,0,37,0
510,3.218,0,16,0
511,0.774,0,5,0
512,0.572,0,5,0
513,1.952,0,5,0
514,2.608,0,4,0
515,2.6,0,5,0
516,2.568,0,5,0
517,1.334,0,5,0
518,0.362,0,3,0
519,1.238,0,1,0
520,2.448,0,2,0
521,2.426,0,1,0
522,1.794,0,2,0
523,0.288,0,1,0
524,0.608,0,1,0
525,2.426,0,2,0
526,2.442,0,1,0
527,2.428,0,1,0
528,0.674,0,2,0
529,0.306,0,1,0
530,2.09,0,2,0
531,2.508,0,1,0
532,2.228,0,1,0
533,0.308,0,0,0
534,0.29,0,0,0
535,2.442,0,1,0
536,2.514,0,0,0
537,2.506,0,0,0
538,0.388,0,0,0
539,0.538,0,0,0
540,2.496,0,0,0
541,2.47,0,1,0
542,2.448,0,0,0
543,0.82,0,0,0
544,0.308,0,0,0
545,2.45,0,0,0
546,2.432,0,0,0
547,2.444,0,0,0
548,1.97,0,0,0
549,0.256,0,1,0
550,0.508,0,0,0
551,2.37,0,0,0
552,2.352,0,0,0
553,2.14,0,0,0
554,0.212,0,0,0
555,0.992,0,1,0
556,2.362,0,0,0
557,2.384,0,0,0
558,1.928,0,0,0
559,0.218,0,0,0
560,0.656,0,1,0
561,2.398,0,0,0
562,2.412,0,0,0
563,1.672,0,0,0
564,0.226,0,0,0
565,1.632,0,0,0
566,2.352,0,1,0
567,2.328,0,0,0
568,0.732,0,0,0
569,0.206,0,0,0
570,2.332,0,0,0
571,2.39,0,0,0
572,2.476,0,1,0
573,0.604,0,0,0
574,0.38,0,0,0
575,1.774,0,0,0
576,2.52,0,0,0
577,2.542,0,0,0
578,2.228,0,4,0
579,0.59,0,4,0
580,1.354,0,3,0
581,2.734,0,4,0
582,2.734,0,3,0
583,2.002,0,4,0
584,0.472,0,3,0
585,0.876,0,4,0
586,2.324,0,0,0
587,2.342,0,0,0
588,2.326,0,0,0
589,0.302,0,0,0
590,0.208,0,0,0
591,2.022,0,0,0
592,2.356,0,0,0
593,2.346,0,1,0
594,2.24,0,0,0
595,0.224,0,0,0
596,0.424,0,0,0
597,2.344,0,0,0
598,2.308,0,0,0
599,2.338,0,1,0
600,1.48,0,0,0
601,0.222,0,0,0
602,0.82,0,0,0
603,2.352,0,0,0
604,2.312,0,0,0
605,2.324,0,1,0
606,0.232,0,0,0
607,0.342,0,0,0
608,1.94,0,0,0
609,2.456,0,0,0
610,2.448,0,0,0
611,1.838,0,1,0
612,0.32,0,0,0
613,1.154,0,0,0
614,2.442,0,0,0
615,2.41,0,0,0
616,2.282,0,0,0
617,0.32,0,0,0
618,0.812,0,1,0
619,2.446,0,0,0
620,2.426,0,0,0
621,2.41,0,0,0
622,0.436,0,0,0
623,0.492,0,0,0
624,2.424,0,1,0
625,2.392,0,0,0
626,2.382,0,0,0
627,0.754,0,0,0
628,0.412,0,0,0
629,2.354,0,0,0
630,2.412,0,1,0
631,2.426,0,2,0
632,1.384,0,2,0
633,0.292,0,1,0
634,1.33,0,2,0
635,2.396,0,1,0
636,2.422,0,2,0
637,2.402,0,1,0
638,0.43,0,2,0
639,0.666,0,2,0
640,2.42,0,1,0
641,2.39,0,2,0
642,2.446,0,1,0
643,0.978,0,2,0
644,0.4,0,1,0
645,2.432,0,2,0
646,2.5,0,1,0
647,2.52,0,2,0
648,0.788,0,1,0
649,0.402,0,2,0
650,2.238,0,1,0
651,2.512,0,2,0
652,2.486,0,1,0
653,1.936,0,1,0
654,0.376,0,2,0
655,0.908,0,1,0
656,2.336,0,0,0
657,2.346,0,0,0
658,2.328,0,0,0
659,1.708,0,0,0
660,0.206,0,0,0
661,0.516,0,1,0
662,2.426,0,0,0
663,2.43,0,0,0
664,2.424,0,0,0
665,2.306,0,0,0
666,0.288,0,0,0
667,0.756,0,0,5
668,3.498,0,0,19
669,3.522,0,1,18
670,3.46,0,0,19
671,3.434,0,0,18
672,1.646,0,0,19
673,1.336,0,0,18
674,2.874,0,1,18
675,3.41,0,0,19
676,3.412,0,0,18
677,3.386,0,0,18
678,1.844,0,0,18
679,1.414,0,0,18
680,3.352,0,1,18
681,3.5,0,0,18
682,3.516,0,0,18
683,3.174,0,0,18
684,1.428,0,0,19
685,1.994,0,0,18
686,3.492,0,1,18
687,3.46,0,0,18
688,3.492,0,0,18
689,3.482,0,0,18
690,1.492,0,0,18
691,1.326,0,0,19
692,3.282,0,1,18
693,3.422,0,0,18
694,3.424,0,0,18
695,3.254,0,0,18
696,1.32,0,0,18
697,2.294,0,0,19
698,3.4,0,0,17
699,3.402,0,0,18
700,3.418,0,1,18
701,2.994,0,0,19
702,1.326,0,0,18
703,2.02,0,0,18
704,3.378,0,0,18
705,3.372,0,1,18
706,3.374,0,0,17
707,3.426,0,0,18
708,1.462,0,0,18
709,1.834,0,0,18
710,3.462,0,0,18
711,3.486,0,1,18
712,2.91,0,0,9
713,0.936,0,0,0
714,0.338,0,0,0
715,1.926,0,0,0
716,2.42,0,0,0
717,2.438,0,1,0
718,2.43,0,0,0
719,2.454,0,0,0
720,0.424,0,0,0
721,0.716,0,0,0
722,2.462,0,0,0
723,2.46,0,1,0
724,2.418,0,0,0
725,1.0,0,0,0
726,0.298,0,0,0
727,1.65,0,0,0
728,2.31,0,0,0
729,2.332,0,1,0
730,2.242,0,0,0
731,0.224,0,0,0
732,0.752,0,0,0
733,2.33,0,0,0
734,2.322,0,0,0
735,2.312,0,0,0
736,0.76,0,1,0
737,0.364,0,0,0
738,2.336,0,0,0
739,2.312,0,0,0
740,2.332,0,0,0
741,0.856,0,0,0
742,0.864,0,1,0
743,2.302,0,0,0
744,2.324,0,0,0
745,1.852,0,0,0
746,0.226,0,0,0
747,2.184,0,0,0
748,2.38,0,1,0
749,1.92,0,0,0
750,0.254,0,0,0
751,2.164,0,0,0
752,2.554,0,0,0
753,2.026,0,0,0
754,0.414,0,1,0
755,2.106,0,0,0
756,2.522,0,0,0
757,2.076,0,0,0
758,0.402,0,0,0
759,2.118,0,0,0
760,2.486,0,1,0
761,1.34,0,1,0
762,0.666,0,1,0
763,2.44,0,2,0
764,2.426,0,2,0
765,1.278,0,1,0
766,0.43,0,2,0
767,2.426,0,1,0
768,2.382,0,2,0
769,2.406,0,2,0
770,0.33,0,1,0
771,1.208,0,2,0
772,2.406,0,1,0
773,2.442,0,2,0
774,2.426,0,1,0
775,2.432,0,2,0
776,2.414,0,1,0
777,0.484,0,2,0
778,0.312,0,1,0
779,2.352,0,2,0
780,2.428,0,1,0
781,2.582,0,2,0
782,2.784,0,1,0
783,2.68,0,1,0
784,1.42,0,2,0
785,0.908,0,1,0
786,3.194,0,0,0
787,3.328,0,0,0
788,2.67,0,0,0
789,1.238,0,1,0
790,1.12,0,0,0
791,0.592,0,0,0
792,0.8,0,0,0
793,0.82,0,0,0
794,0.796,0,0,0
795,0.798,0,1,0
796,0.694,0,0,0
797,0.694,0,0,0
798,0.758,0,0,0
799,0.682,0,0,0
800,0.664,0,1,0
801,0.642,0,0,0
802,0.66,0,0,0
803,0.636,0,0,0
804,0.66,0,0,0
805,0.638,0,0,0
806,0.478,0,1,0
807,0.316,0,0,0
808,0.33,0,0,0
809,0.38,0,0,0
810,0.522,0,0,0
811,0.422,0,0,0
812,0.262,0,1,0
813,0.22,0,0,0
814,0.246,0,0,0
815,0.212,0,0,0
816,0.242,0,0,0
817,0.222,0,0,0
818,0.24,0,1,0
819,0.216,0,0,0
820,0.228,0,0,0
821,0.21,0,0,0
822,0.276,0,0,0
823,0.322,0,0,0
824,0.336,0,0,0
825,0.318,0,0,0
826,0.314,0,1,0
827,0.328,0,0,0
828,0.308,0,0,0
829,0.326,0,0,0
830,0.304,0,0,0
831,2.206,0,1,0
832,2.338,0,0,0
833,2.362,0,0,0
834,2.356,0,0,0
835,2.324,0,0,0
836,2.264,0,0,0
837,2.28,0,1,0
838,2.258,0,0,0
839,2.306,0,0,0
840,2.288,0,0,0
841,2.3,0,0,0
842,2.346,0,0,0
843,2.378,0,1,0
844,2.346,0,0,0
845,2.35,0,0,0
846,2.326,0,0,0
847,2.336,0,0,0
848,2.326,0,0,0
849,0.504,0,1,0
850,0.268,0,0,0
851,1.734,0,0,0
852,2.318,0,0,0
853,2.322,0,0,0
854,2.302,0,0,0
855,2.318,0,1,0
856,2.302,0,0,0
857,2.29,0,0,0
858,2.376,0,0,0
859,0.368,0,0,0
860,0.332,0,0,0
861,1.734,0,0,0
862,2.416,0,1,0
863,2.4,0,0,0
864,2.418,0,0,0
865,2.388,0,0,0
866,2.406,0,0,0
867,2.378,0,0,0
868,1.164,0,1,0
869,0.3,0,0,0
870,0.7,0,0,0
871,2.376,0,0,0
872,2.32,0,0,0
873,2.278,0,0,0
874,2.28,0,1,0
875,2.278,0,0,0
876,2.294,0,0,0
877,2.28,0,0,0
878,2.3,0,0,0
879,0.21,0,0,0
880,0.216,0,1,0
881,2.256,0,0,0
882,2.312,0,0,0
883,2.288,0,0,0
884,2.308,0,0,0
885,2.272,0,0,0
886,2.354,0,1,0
887,0.616,0,0,0
888,0.282,0,0,0
889,1.78,0,0,0
890,2.348,0,0,0
891,2.368,0,1,0
892,2.362,0,0,0
893,2.378,0,0,0
894,2.43,0,0,0
895,2.512,0,2,0
896,0.616,0,1,0
897,0.398,0,2,0
898,1.528,0,1,0
899,2.484,0,2,0
900,2.462,0,1,0
901,2.502,0,2,0
902,2.484,0,1,0
903,2.486,0,2,0
904,2.04,0,2,0
905,0.402,0,1,0
906,0.38,0,2,0
907,1.876,0,1,0
908,2.36,0,2,0
909,2.364,0,1,0
910,2.336,0,2,0
911,2.352,0,1,0
912,2.34,0,2,0
913,2.36,0,1,0
914,0.914,0,1,0
915,0.29,0,2,0
916,1.058,0,1,0
917,2.374,0,2,0
918,2.388,0,1,0
919,2.358,0,1,0
920,2.294,0,1,0
921,2.278,0,0,0
922,2.28,0,0,0
923,0.268,0,0,0
924,0.222,0,0,0
925,1.622,0,0,0
926,2.296,0,1,0
927,2.278,0,0,0
928,2.296,0,0,0
929,2.26,0,0,0
930,2.94,0,0,0
931,2.792,0,0,0
932,1.158,0,1,0
933,0.932,0,0,0
934,2.514,0,0,0
935,2.984,0,1,0
936,2.996,0,1,0
937,2.94,0,1,0
938,3.278,0,7,0
939,5.908,0,38,0
940,7.064,0,37,0
941,6.926,0,37,0
942,6.58,0,38,0
943,6.05,0,37,0
944,6.104,0,37,0
945,4.762,0,38,0
946,4.506,0,38,0
947,4.472,0,37,0
948,3.708,0,27,0
949,0.724,0,2,0
950,1.892,0,26,0
951,2.012,0,2,0
952,2.372,0,1,0
953,2.386,0,0,0
954,2.4,0,1,0
955,2.424,0,2,0
956,1.066,0,1,0
957,0.38,0,2,0
958,1.632,0,1,0
959,2.41,0,1,0
960,2.38,0,0,0
961,2.402,0,1,0
962,2.438,0,1,0
963,2.432,0,1,0
964,1.64,0,2,0
965,0.424,0,2,0
966,1.41,0,5,0
967,2.722,0,5,0
968,2.712,0,5,0
969,2.706,0,5,0
970,2.488,0,1,0
971,2.424,0,0,0
972,1.258,0,0,0
973,0.37,0,0,0
974,0.786,0,0,0
975,2.474,0,0,0
976,2.474,0,0,0
977,2.488,0,0,0
978,2.486,0,0,0
979,2.444,0,0,0
980,2.272,0,0,0
981,0.338,0,0,0
982,0.29,0,0,0
983,1.466,0,0,0
984,2.324,0,0,0
985,2.32,0,0,0
986,2.308,0,0,0
987,2.314,0,0,0
988,2.312,0,0,0
989,2.306,0,0,0
990,0.444,0,0,0
991,0.268,0,0,0
992,1.846,0,0,0
993,2.308,0,0,0
994,2.29,0,0,0
995,2.288,0,0,0
996,2.296,0,0,0
997,2.292,0,0,0
998,0.37,0,0,0
999,0.472,0,0,0
1000,3.054,0,0,18
1001,3.48,0,0,18
1002,3.572,0,0,17
1003,3.56,0,0,18
1004,3.528,0,0,17
1005,3.49,0,0,16
1006,2.038,0,0,17
1007,1.406,0,0,18
1008,2.84,0,0,17
1009,3.388,0,0,17
1010,3.394,0,0,17
1011,3.36,0,0,17
1012,1.354,0,0,18
1013,1.334,0,0,17
1014,1.358,0,0,17
1015,1.37,0,0,18
1016,1.322,0,0,17
1017,1.304,0,0,17
1018,1.394,0,0,17
1019,1.702,0,0,18
1020,2.242,1,7,17
1021,3.714,2,35,17
1022,3.212,1,26,17
1023,3.694,1,35,17
1024,3.204,1,27,17
1025,3.676,1,35,17
1026,3.666,2,35,17
1027,3.678,1,35,17
1028,3.722,1,37,17
1029,3.716,1,36,17
1030,3.75,1,37,17
1031,4.17,6,36,17
1032,5.776,37,36,17
1033,5.718,37,35,16
1034,5.738,36,35,17
1035,5.714,37,36,16
1036,5.732,36,35,17
1037,5.73,36,35,16
1038,5.848,37,36,17
1039,5.842,36,35,16
1040,5.88,37,36,17
1041,5.872,36,35,17
1042,5.07,37,23,17
1043,5.488,38,27,16
1044,5.898,36,36,17
1045,5.026,25,35,17
1046,3.246,1,29,17
1047,2.712,2,21,16
1048,3.538,1,36,17
1049,3.574,1,36,17
1050,3.016,1,25,17
1051,3.002,1,26,18
1052,4.444,2,50,17
1053,5.568,1,71,17
1054,4.84,1,59,16
1055,5.066,1,62,17
1056,5.57,1,70,17
1057,3.65,1,40,17
1058,2.394,2,17,17
1059,3.024,1,29,17
1060,3.25,1,29,17
1061,3.378,1,34,17
1062,2.264,2,12,17
1063,3.108,1,28,17
1064,2.978,1,26,16
1065,1.966,1,12,17
1066,1.928,1,8,17
1067,2.526,1,20,17
1068,1.51,1,3,17
1069,1.572,1,4,17
1070,1.602,2,4,18
1071,1.562,1,4,17
1072,1.55,1,3,17
1073,1.586,1,4,17
1074,1.658,1,3,18
1075,1.658,2,3,17
1076,1.65,0,1,17
1077,1.676,1,0,17
1078,2.492,12,1,17
1079,3.828,37,1,17
1080,3.822,37,0,16
1081,3.834,37,1,17
1082,3.81,37,0,17
1083,3.824,37,0,17
1084,3.838,37,0,17
1085,3.844,37,1,17
1086,3.824,37,0,17
1087,3.844,37,1,17
1088,3.88,37,2,17
1089,4.004,37,5,17
1090,3.784,38,0,17
1091,3.784,37,1,17
1092,3.792,37,0,17
1093,2.146,11,0,17
1094,1.608,0,0,17
1095,1.828,0,0,18
1096,1.922,0,0,17
1097,1.978,0,0,17
1098,1.93,1,0,18
1099,1.964,0,1,17
1100,1.854,0,0,18
1101,1.762,0,0,18
1102,1.738,0,0,17
1103,1.766,0,0,18
1104,1.746,0,0,18
1105,1.734,0,1,17
1106,1.738,0,0,18
1107,1.958,0,0,17
1108,1.964,0,0,18
1109,1.962,0,0,17
1110,2.05,0,1,18
1111,2.032,0,0,17
1112,2.036,0,0,18
1113,1.964,0,0,17
1114,1.97,0,0,18
1115,1.946,0,0,17
1116,1.97,0,1,17
1117,1.962,0,0,18
1118,1.988,0,0,18
1119,1.972,0,0,17
1120,1.974,0,0,18
1121,1.954,0,0,17
1122,1.958,0,0,18
1123,2.01,0,0,17
1124,1.946,0,1,17
1125,1.928,0,0,17
1126,1.908,0,0,18
1127,1.708,0,0,17
1128,1.564,0,0,18
1129,1.54,0,0,17
1130,1.56,0,1,18
1131,1.584,0,0,17
1132,1.734,0,0,17
1133,1.772,0,0,18
1134,1.874,0,0,17
1135,1.74,0,0,18
1136,1.622,0,0,17
1137,1.854,0,0,17
1138,1.854,0,0,18
1139,1.906,0,0,17
1140,1.946,0,0,18
1141,3.36,0,0,17
1142,3.518,0,0,17
1143,2.438,0,0,18
1144,1.924,0,0,17
1145,1.954,0,0,17
1146,2.018,0,0,18
