Index,Global_active_power,Global_reactive_power
254,3.346,0.0
255,3.308,0.072
256,3.302,0.072
257,2.36,0.064
258,2.652,0.046
259,3.392,0.0
260,3.398,0.0
261,3.424,0.046
262,1.86,0.066
263,3.25,0.082
264,3.502,0.172
265,3.484,0.17
266,3.478,0.168
267,1.696,0.194
268,3.494,0.17
269,3.482,0.17
270,3.48,0.17
271,3.474,0.168
272,2.308,0.184
273,2.926,0.178
274,3.472,0.17
275,3.48,0.17
276,3.454,0.168
277,3.464,0.17
278,1.786,0.096
279,3.182,0.0
280,3.378,0.0
281,3.372,0.0
282,3.362,0.0
283,3.112,0.0
284,1.614,0.056
285,3.358,0.0
286,3.388,0.0
287,3.392,0.0
288,2.81,0.0
289,2.18,0.0
290,3.37,0.0
291,3.326,0.0
292,2.778,0.0
293,2.358,0.0
294,0.96,0.054
295,1.606,0.0
296,2.35,0.0
297,2.428,0.068
298,2.078,0.072
299,0.78,0.09
300,2.426,0.068
301,2.412,0.066
302,2.428,0.07
303,1.53,0.084
304,1.388,0.086
305,2.424,0.07
306,2.428,0.072
307,2.388,0.07
308,0.376,0.1
309,2.202,0.074
310,2.43,0.07
311,2.346,0.052
312,1.916,0.054
313,0.384,0.0
314,2.334,0.06
315,2.32,0.06
316,2.306,0.062
317,2.306,0.064
318,0.436,0.0
319,1.584,0.05
320,2.328,0.062
321,2.326,0.062
322,2.334,0.06
323,1.846,0.054
324,0.284,0.0
325,2.342,0.06
326,2.392,0.0
327,2.414,0.0
328,2.414,0.0
329,0.754,0.086
330,1.42,0.178
331,2.468,0.162
332,2.474,0.164
333,2.488,0.168
334,1.81,0.182
335,0.674,0.2
336,2.444,0.094
337,2.41,0.068
338,2.412,0.07
339,2.206,0.072
340,0.37,0.1
341,2.104,0.076
342,2.404,0.068
343,2.418,0.07
344,2.342,0.0
345,1.262,0.046
346,0.852,0.0
347,2.34,0.06
348,2.336,0.06
349,2.334,0.06
350,2.33,0.06
351,1.038,0.0
352,0.386,0.0
353,2.35,0.06
354,2.346,0.06
355,2.346,0.06
356,1.834,0.052
357,1.222,0.046
358,2.342,0.06
359,2.334,0.06
360,1.666,0.052
361,1.198,0.0
362,2.35,0.058
363,2.398,0.0
364,2.444,0.072
365,0.406,0.098
366,2.434,0.072
367,2.502,0.136
368,2.518,0.176
369,1.516,0.19
370,1.498,0.188
371,2.508,0.174
372,2.504,0.174
373,2.492,0.172
374,0.814,0.204
375,2.304,0.18
376,2.53,0.182
377,2.378,0.0
378,0.384,0.0
379,2.37,0.058
380,2.358,0.058
381,2.352,0.058
382,0.416,0.0
383,2.654,0.062
384,2.54,0.06
385,2.526,0.058
386,1.206,0.0
387,3.844,0.148
388,4.122,0.14
389,3.458,0.0
390,1.988,0.05
391,0.596,0.0
392,1.29,0.0
393,2.73,0.06
394,2.734,0.062
395,2.764,0.066
396,2.586,0.07
397,1.044,0.152
398,1.52,0.22
399,3.038,0.194
400,2.974,0.194
401,2.846,0.198
402,2.848,0.198
403,2.858,0.202
404,2.472,0.208
405,0.658,0.244
406,0.838,0.334
407,2.608,0.298
408,2.598,0.296
409,2.56,0.286
410,2.526,0.278
411,2.472,0.194
412,1.658,0.166
413,0.422,0.184
414,0.79,0.178
415,2.436,0.12
416,2.396,0.056
417,2.338,0.0
418,2.304,0.062
419,0.276,0.0
420,0.712,0.0
421,2.332,0.06
422,2.344,0.058
423,2.354,0.058
424,2.332,0.06
425,2.368,0.056
426,0.612,0.0
427,0.286,0.0
428,1.952,0.05
429,2.376,0.056
430,2.374,0.056
431,2.406,0.0
432,1.004,0.094
433,0.388,0.104
434,1.458,0.09
435,2.48,0.078
436,2.454,0.074
437,2.468,0.078
438,2.028,0.084
439,0.382,0.108
440,0.902,0.098
441,2.466,0.076
442,2.456,0.076
443,2.45,0.074
444,2.448,0.074
445,0.93,0.0
446,0.286,0.0
447,1.376,0.0
448,2.456,0.048
449,2.456,0.048
450,2.444,0.046
451,2.122,0.048
452,0.356,0.07
453,0.952,0.062
454,2.426,0.0
455,2.42,0.0
456,2.412,0.0
457,1.008,0.0
458,0.43,0.0
459,2.676,0.088
460,3.766,0.208
461,4.582,0.258
462,5.282,0.15
463,2.362,0.096
464,3.25,0.084
465,4.618,0.104
466,5.242,0.178
467,4.86,0.198
468,3.738,0.238
469,3.426,0.256
470,5.254,0.214
471,5.246,0.23
472,5.216,0.21
473,3.858,0.24
474,2.822,0.188
475,3.84,0.164
476,4.636,0.14
477,4.634,0.152
478,4.652,0.142
479,3.13,0.13
480,1.756,0.05
481,3.478,0.0
482,4.5,0.0
483,3.552,0.0
484,3.94,0.0
485,2.44,0.0
486,2.08,0.0
487,3.652,0.0
488,4.432,0.0
489,4.46,0.0
490,2.186,0.124
491,2.358,0.124
492,3.954,0.098
493,3.746,0.106
494,3.944,0.098
495,3.68,0.102
496,1.67,0.13
497,3.214,0.118
498,4.5,0.0
499,3.8,0.0
500,2.664,0.0
501,2.528,0.122
502,2.668,0.14
503,4.256,0.184
504,4.126,0.244
505,3.216,0.27
506,0.574,0.302
507,2.344,0.272
508,3.804,0.244
509,4.622,0.24
510,3.218,0.25
511,0.774,0.294
512,0.572,0.3
513,1.952,0.282
514,2.608,0.188
515,2.6,0.134
516,2.568,0.132
517,1.334,0.148
518,0.362,0.124
519,1.238,0.1
520,2.448,0.088
521,2.426,0.082
522,1.794,0.098
523,0.288,0.118
524,0.608,0.12
525,2.426,0.082
526,2.442,0.088
527,2.428,0.084
528,0.674,0.116
529,0.306,0.128
530,2.09,0.094
531,2.508,0.134
532,2.228,0.126
533,0.308,0.108
534,0.29,0.102
535,2.442,0.072
536,2.514,0.156
537,2.506,0.202
538,0.388,0.234
539,0.538,0.242
540,2.496,0.142
541,2.47,0.1
542,2.448,0.096
543,0.82,0.126
544,0.308,0.13
545,2.45,0.102
546,2.432,0.092
547,2.444,0.098
548,1.97,0.1
549,0.256,0.0
550,0.508,0.0
551,2.37,0.0
552,2.352,0.0
553,2.14,0.0
554,0.212,0.0
555,0.992,0.0
556,2.362,0.0
557,2.384,0.0
558,1.928,0.0
559,0.218,0.0
560,0.656,0.0
561,2.398,0.0
562,2.412,0.0
563,1.672,0.0
564,0.226,0.0
565,1.632,0.0
566,2.352,0.0
567,2.328,0.046
568,0.732,0.0
569,0.206,0.0
570,2.332,0.0
571,2.39,0.0
572,2.476,0.1
573,0.604,0.126
574,0.38,0.178
575,1.774,0.21
576,2.52,0.202
577,2.542,0.214
578,2.228,0.294
579,0.59,0.316
580,1.354,0.316
581,2.734,0.28
582,2.734,0.288
583,2.002,0.214
584,0.472,0.144
585,0.876,0.0
586,2.324,0.046
587,2.342,0.0
588,2.326,0.046
589,0.302,0.0
590,0.208,0.0
591,2.022,0.0
592,2.356,0.0
593,2.346,0.0
594,2.24,0.0
595,0.224,0.0
596,0.424,0.0
597,2.344,0.0
598,2.308,0.048
599,2.338,0.0
600,1.48,0.0
601,0.222,0.0
602,0.82,0.0
603,2.352,0.0
604,2.312,0.048
605,2.324,0.0
606,0.232,0.0
607,0.342,0.12
608,1.94,0.098
609,2.456,0.098
610,2.448,0.096
611,1.838,0.108
612,0.32,0.13
613,1.154,0.116
614,2.442,0.096
615,2.41,0.09
616,2.282,0.096
617,0.32,0.126
618,0.812,0.224
619,2.446,0.138
620,2.426,0.066
621,2.41,0.062
622,0.436,0.096
623,0.492,0.088
624,2.424,0.064
625,2.392,0.058
626,2.382,0.0
627,0.754,0.0
628,0.412,0.0
629,2.354,0.0
630,2.412,0.0
631,2.426,0.082
632,1.384,0.1
633,0.292,0.11
634,1.33,0.098
635,2.396,0.076
636,2.422,0.082
637,2.402,0.076
638,0.43,0.112
639,0.666,0.104
640,2.42,0.08
641,2.39,0.074
642,2.446,0.12
643,0.978,0.248
644,0.4,0.254
645,2.432,0.222
646,2.5,0.214
647,2.52,0.22
648,0.788,0.246
649,0.402,0.256
650,2.238,0.216
651,2.512,0.22
652,2.486,0.212
653,1.936,0.23
654,0.376,0.256
655,0.908,0.078
656,2.336,0.046
657,2.346,0.0
658,2.328,0.046
659,1.708,0.0
660,0.206,0.0
661,0.516,0.0
662,2.426,0.06
663,2.43,0.066
664,2.424,0.06
665,2.306,0.064
666,0.288,0.088
667,0.756,0.092
668,3.498,0.05
669,3.522,0.054
670,3.46,0.0
671,3.434,0.05
672,1.646,0.0
673,1.336,0.0
674,2.874,0.0
675,3.41,0.056
676,3.412,0.052
677,3.386,0.056
678,1.844,0.048
679,1.414,0.106
680,3.352,0.086
681,3.5,0.08
682,3.516,0.084
683,3.174,0.084
684,1.428,0.114
685,1.994,0.1
686,3.492,0.082
687,3.46,0.076
688,3.492,0.082
689,3.482,0.08
690,1.492,0.104
691,1.326,0.0
692,3.282,0.046
693,3.422,0.054
694,3.424,0.05
695,3.254,0.054
696,1.32,0.0
697,2.294,0.0
698,3.4,0.052
699,3.402,0.056
700,3.418,0.05
701,2.994,0.05
702,1.326,0.0
703,2.02,0.0
704,3.378,0.056
705,3.372,0.054
706,3.374,0.046
707,3.426,0.046
708,1.462,0.066
709,1.834,0.07
710,3.462,0.046
711,3.486,0.054
712,2.91,0.056
713,0.936,0.09
714,0.338,0.152
715,1.926,0.136
716,2.42,0.088
717,2.438,0.094
718,2.43,0.092
719,2.454,0.098
720,0.424,0.126
721,0.716,0.128
722,2.462,0.098
723,2.46,0.1
724,2.418,0.09
725,1.0,0.112
726,0.298,0.118
727,1.65,0.0
728,2.31,0.048
729,2.332,0.0
730,2.242,0.046
731,0.224,0.0
732,0.752,0.0
733,2.33,0.0
734,2.322,0.0
735,2.312,0.048
736,0.76,0.0
737,0.364,0.0
738,2.336,0.0
739,2.312,0.048
740,2.332,0.0
741,0.856,0.0
742,0.864,0.0
743,2.302,0.05
744,2.324,0.0
745,1.852,0.0
746,0.226,0.0
747,2.184,0.0
748,2.38,0.0
749,1.92,0.0
750,0.254,0.0
751,2.164,0.098
752,2.554,0.188
753,2.026,0.212
754,0.414,0.244
755,2.106,0.206
756,2.522,0.202
757,2.076,0.206
758,0.402,0.238
759,2.118,0.204
760,2.486,0.176
761,1.34,0.2
762,0.666,0.258
763,2.44,0.11
764,2.426,0.082
765,1.278,0.096
766,0.43,0.106
767,2.426,0.08
768,2.382,0.072
769,2.406,0.078
770,0.33,0.106
771,1.208,0.098
772,2.406,0.076
773,2.442,0.086
774,2.426,0.082
775,2.432,0.084
776,2.414,0.08
777,0.484,0.116
778,0.312,0.112
779,2.352,0.088
780,2.428,0.084
781,2.582,0.092
782,2.784,0.086
783,2.68,0.09
784,1.42,0.098
785,0.908,0.088
786,3.194,0.048
787,3.328,0.094
788,2.67,0.094
789,1.238,0.124
790,1.12,0.116
791,0.592,0.128
792,0.8,0.122
793,0.82,0.126
794,0.796,0.116
795,0.798,0.116
796,0.694,0.12
797,0.694,0.136
798,0.758,0.228
799,0.682,0.14
800,0.664,0.09
801,0.642,0.084
802,0.66,0.088
803,0.636,0.082
804,0.66,0.09
805,0.638,0.084
806,0.478,0.092
807,0.316,0.0
808,0.33,0.0
809,0.38,0.0
810,0.522,0.0
811,0.422,0.0
812,0.262,0.0
813,0.22,0.0
814,0.246,0.0
815,0.212,0.0
816,0.242,0.0
817,0.222,0.0
818,0.24,0.0
819,0.216,0.0
820,0.228,0.0
821,0.21,0.0
822,0.276,0.0
823,0.322,0.104
824,0.336,0.108
825,0.318,0.108
826,0.314,0.11
827,0.328,0.114
828,0.308,0.108
829,0.326,0.112
830,0.304,0.108
831,2.206,0.086
832,2.338,0.072
833,2.362,0.076
834,2.356,0.074
835,2.324,0.0
836,2.264,0.056
837,2.28,0.052
838,2.258,0.056
839,2.306,0.048
840,2.288,0.054
841,2.3,0.048
842,2.346,0.0
843,2.378,0.054
844,2.346,0.048
845,2.35,0.05
846,2.326,0.0
847,2.336,0.048
848,2.326,0.0
849,0.504,0.08
850,0.268,0.076
851,1.734,0.0
852,2.318,0.05
853,2.322,0.046
854,2.302,0.052
855,2.318,0.046
856,2.302,0.05
857,2.29,0.052
858,2.376,0.0
859,0.368,0.114
860,0.332,0.124
861,1.734,0.096
862,2.416,0.088
863,2.4,0.084
864,2.418,0.088
865,2.388,0.082
866,2.406,0.086
867,2.378,0.08
868,1.164,0.108
869,0.3,0.118
870,0.7,0.12
871,2.376,0.0
872,2.32,0.046
873,2.278,0.054
874,2.28,0.05
875,2.278,0.054
876,2.294,0.05
877,2.28,0.056
878,2.3,0.05
879,0.21,0.0
880,0.216,0.0
881,2.256,0.052
882,2.312,0.048
883,2.288,0.052
884,2.308,0.048
885,2.272,0.054
886,2.354,0.0
887,0.616,0.084
888,0.282,0.082
889,1.78,0.06
890,2.348,0.048
891,2.368,0.054
892,2.362,0.052
893,2.378,0.056
894,2.43,0.134
895,2.512,0.256
896,0.616,0.226
897,0.398,0.234
898,1.528,0.212
899,2.484,0.208
900,2.462,0.202
901,2.502,0.214
902,2.484,0.21
903,2.486,0.212
904,2.04,0.214
905,0.402,0.246
906,0.38,0.24
907,1.876,0.196
908,2.36,0.068
909,2.364,0.07
910,2.336,0.064
911,2.352,0.068
912,2.34,0.064
913,2.36,0.07
914,0.914,0.088
915,0.29,0.104
916,1.058,0.09
917,2.374,0.07
918,2.388,0.076
919,2.358,0.0
920,2.294,0.05
921,2.278,0.054
922,2.28,0.05
923,0.268,0.0
924,0.222,0.0
925,1.622,0.046
926,2.296,0.048
927,2.278,0.054
928,2.296,0.05
929,2.26,0.056
930,2.94,0.218
931,2.792,0.17
932,1.158,0.248
933,0.932,0.398
934,2.514,0.368
935,2.984,0.334
936,2.996,0.338
937,2.94,0.31
938,3.278,0.158
939,5.908,0.134
940,7.064,0.124
941,6.926,0.118
942,6.58,0.056
943,6.05,0.0
944,6.104,0.05
945,4.762,0.088
946,4.506,0.088
947,4.472,0.088
948,3.708,0.084
949,0.724,0.054
950,1.892,0.066
951,2.012,0.0
952,2.372,0.0
953,2.386,0.0
954,2.4,0.064
955,2.424,0.068
956,1.066,0.05
957,0.38,0.0
958,1.632,0.0
959,2.41,0.0
960,2.38,0.062
961,2.402,0.06
962,2.438,0.066
963,2.432,0.066
964,1.64,0.054
965,0.424,0.0
966,1.41,0.124
967,2.722,0.136
968,2.712,0.136
969,2.706,0.134
970,2.488,0.112
971,2.424,0.072
972,1.258,0.184
973,0.37,0.206
974,0.786,0.202
975,2.474,0.176
976,2.474,0.176
977,2.488,0.178
978,2.486,0.178
979,2.444,0.13
980,2.272,0.048
981,0.338,0.076
982,0.29,0.0
983,1.466,0.0
984,2.324,0.05
985,2.32,0.052
986,2.308,0.052
987,2.314,0.054
988,2.312,0.052
989,2.306,0.052
990,0.444,0.0
991,0.268,0.0
992,1.846,0.046
993,2.308,0.054
994,2.29,0.056
995,2.288,0.056
996,2.296,0.054
997,2.292,0.054
998,0.37,0.0
999,0.472,0.0
1000,3.054,0.06
1001,3.48,0.066
1002,3.572,0.046
1003,3.56,0.058
1004,3.528,0.056
1005,3.49,0.05
1006,2.038,0.068
1007,1.406,0.078
1008,2.84,0.064
1009,3.388,0.06
1010,3.394,0.062
1011,3.36,0.06
1012,1.354,0.084
1013,1.334,0.082
1014,1.358,0.09
1015,1.37,0.118
1016,1.322,0.054
1017,1.304,0.05
1018,1.394,0.07
1019,1.702,0.082
1020,2.242,0.162
1021,3.714,0.296
1022,3.212,0.304
1023,3.694,0.28
1024,3.204,0.292
1025,3.676,0.268
1026,3.666,0.282
1027,3.678,0.204
1028,3.722,0.3
1029,3.716,0.28
1030,3.75,0.298
1031,4.17,0.268
1032,5.776,0.266
1033,5.718,0.244
1034,5.738,0.26
1035,5.714,0.242
1036,5.732,0.268
1037,5.73,0.272
1038,5.848,0.396
1039,5.842,0.38
1040,5.88,0.4
1041,5.872,0.384
1042,5.07,0.416
1043,5.488,0.396
1044,5.898,0.404
1045,5.026,0.382
1046,3.246,0.4
1047,2.712,0.256
1048,3.538,0.26
1049,3.574,0.254
1050,3.016,0.286
1051,3.002,0.224
1052,4.444,0.136
1053,5.568,0.106
1054,4.84,0.132
1055,5.066,0.112
1056,5.57,0.154
1057,3.65,0.22
1058,2.394,0.248
1059,3.024,0.222
1060,3.25,0.232
1061,3.378,0.16
1062,2.264,0.144
1063,3.108,0.112
1064,2.978,0.11
1065,1.966,0.118
1066,1.928,0.134
1067,2.526,0.082
1068,1.51,0.0
1069,1.572,0.064
1070,1.602,0.076
1071,1.562,0.062
1072,1.55,0.0
1073,1.586,0.05
1074,1.658,0.168
1075,1.658,0.164
1076,1.65,0.314
1077,1.676,0.312
1078,2.492,0.31
1079,3.828,0.288
1080,3.822,0.262
1081,3.834,0.254
1082,3.81,0.248
1083,3.824,0.244
1084,3.838,0.226
1085,3.844,0.23
1086,3.824,0.25
1087,3.844,0.208
1088,3.88,0.146
1089,4.004,0.162
1090,3.784,0.124
1091,3.784,0.104
1092,3.792,0.104
1093,2.146,0.192
1094,1.608,0.208
1095,1.828,0.212
1096,1.922,0.212
1097,1.978,0.252
1098,1.93,0.218
1099,1.964,0.222
1100,1.854,0.224
1101,1.762,0.228
1102,1.738,0.218
1103,1.766,0.228
1104,1.746,0.234
1105,1.734,0.236
1106,1.738,0.252
1107,1.958,0.248
1108,1.964,0.222
1109,1.962,0.232
1110,2.05,0.348
1111,2.032,0.342
1112,2.036,0.34
1113,1.964,0.27
1114,1.97,0.252
1115,1.946,0.246
1116,1.97,0.254
1117,1.962,0.252
1118,1.988,0.26
1119,1.972,0.258
1120,1.974,0.256
1121,1.954,0.25
1122,1.958,0.25
1123,2.01,0.35
1124,1.946,0.304
1125,1.928,0.294
1126,1.908,0.208
1127,1.708,0.118
1128,1.564,0.132
1129,1.54,0.126
1130,1.56,0.13
1131,1.584,0.124
1132,1.734,0.122
1133,1.772,0.11
1134,1.874,0.106
1135,1.74,0.11
1136,1.622,0.118
1137,1.854,0.114
1138,1.854,0.114
1139,1.906,0.148
1140,1.946,0.222
1141,3.36,0.528
1142,3.518,0.504
1143,2.438,0.294
1144,1.924,0.218
1145,1.954,0.244
1146,2.018,0.344
1147,2.014,0.346
1148,1.992,0.34
1149,1.996,0.344
1150,2.002,0.344
1151,1.964,0.292
1152,1.93,0.242
1153,1.83,0.304
1154,1.706,0.366
1155,2.93,0.574
1156,3.182,0.582
1157,1.718,0.37
1158,1.716,0.366
1159,1.71,0.364
1160,1.712,0.364
1161,1.702,0.36
1162,1.732,0.37
1163,1.722,0.366
1164,1.712,0.362
1165,1.716,0.364
1166,1.714,0.362
1167,1.71,0.362
1168,1.722,0.366
1169,1.72,0.366
1170,1.714,0.364
1171,1.736,0.372
1172,1.726,0.368
1173,1.712,0.364
1174,1.72,0.366
1175,1.718,0.364
1176,1.704,0.36
1177,1.754,0.392
1178,1.798,0.47
1179,1.742,0.364
1180,1.74,0.354
1181,1.742,0.356
1182,1.75,0.358
1183,1.736,0.354
1184,1.712,0.344
1185,1.566,0.246
1186,1.488,0.196
1187,1.494,0.198
1188,1.504,0.202
1189,1.498,0.198
1190,1.44,0.104
1191,1.44,0.102
1192,1.434,0.1
1193,1.446,0.104
1194,1.442,0.102
1195,1.434,0.1
1196,1.456,0.106
1197,1.462,0.108
1198,1.478,0.112
1199,1.47,0.114
1200,1.456,0.11
1201,1.45,0.108
1202,1.448,0.108
1203,1.442,0.106
1204,1.446,0.108
1205,1.446,0.108
1206,1.44,0.106
1207,1.44,0.108
1208,1.436,0.106
1209,1.44,0.108
1210,1.436,0.106
1211,1.434,0.106
1212,1.648,0.102
1213,1.734,0.102
1214,1.816,0.202
1215,1.808,0.204
1216,1.822,0.21
1217,1.822,0.21
1218,1.826,0.21
1219,1.824,0.21
1220,1.82,0.208
1221,1.81,0.206
1222,1.81,0.206
1223,1.806,0.206
1224,1.814,0.208
1225,1.812,0.208
1226,1.784,0.154
1227,1.758,0.112
1228,1.768,0.114
1229,1.764,0.112
1230,1.764,0.112
1231,2.152,0.106
1232,3.092,0.092
1233,1.79,0.108
1234,1.76,0.108
1235,1.752,0.104
1236,1.75,0.106
1237,1.744,0.104
1238,1.77,0.11
1239,1.794,0.118
1240,1.774,0.11
1241,1.782,0.112
1242,1.788,0.114
1243,2.4,0.134
1244,1.8,0.122
1245,1.938,0.12
1246,2.304,0.116
1247,2.066,0.142
1248,1.938,0.12
1249,1.802,0.122
1250,1.954,0.246
1251,2.058,0.316
1252,2.102,0.402
1253,2.118,0.404
1254,2.12,0.402
1255,2.106,0.396
1256,2.124,0.4
1257,2.134,0.404
1258,2.134,0.404
1259,2.12,0.398
1260,2.122,0.394
1261,2.118,0.39
1262,2.106,0.386
1263,2.136,0.354
1264,2.51,0.274
1265,2.68,0.292
1266,2.372,0.282
1267,2.154,0.268
1268,2.146,0.266
1269,2.14,0.262
1270,2.142,0.26
1271,2.228,0.258
1272,2.19,0.254
1273,2.122,0.252
1274,2.118,0.25
1275,2.12,0.252
1276,2.118,0.25
1277,2.11,0.254
1278,2.11,0.266
1279,2.11,0.264
1280,2.108,0.264
1281,2.104,0.268
1282,1.856,0.238
1283,1.858,0.24
1284,1.87,0.244
1285,2.046,0.242
1286,2.152,0.236
1287,2.17,0.244
1288,2.162,0.24
1289,2.16,0.24
1290,2.154,0.24
1291,2.238,0.324
1292,2.24,0.348
1293,2.248,0.352
1294,2.188,0.26
1295,2.152,0.212
1296,2.13,0.208
1297,2.11,0.202
1298,2.112,0.204
1299,2.12,0.208
1300,2.108,0.204
1301,2.106,0.204
1302,2.076,0.178
1303,1.996,0.07
1304,2.004,0.07
1305,2.01,0.074
1306,2.002,0.072
1307,1.934,0.0
1308,1.954,0.0
1309,2.06,0.08
1310,2.022,0.082
1311,2.128,0.08
1312,2.18,0.078
1313,2.178,0.078
1314,2.172,0.076
1315,2.18,0.078
1316,2.1,0.08
1317,2.142,0.084
1318,2.144,0.086
1319,2.07,0.088
1320,2.042,0.09
1321,3.006,0.106
1322,3.156,0.126
1323,3.118,0.106
1324,3.124,0.098
1325,4.502,0.082
1326,5.57,0.076
1327,3.054,0.1
1328,2.886,0.17
1329,2.902,0.208
1330,2.892,0.204
1331,2.888,0.204
1332,2.88,0.202
1333,2.858,0.198
1334,3.382,0.148
1335,4.944,0.048
1336,4.928,0.048
1337,4.908,0.046
1338,4.918,0.046
1339,4.956,0.05
1340,4.944,0.052
1341,4.968,0.0
1342,4.89,0.0
1343,4.9,0.0
1344,2.812,0.0
1345,4.794,0.0
1346,2.92,0.0
1347,2.852,0.0
1348,2.814,0.0
1349,2.744,0.0
1350,2.76,0.0
1351,2.758,0.0
1352,2.824,0.068
1353,2.848,0.118
1354,2.844,0.118
1355,2.81,0.112
1356,2.82,0.116
1357,2.818,0.114
1358,2.842,0.126
1359,2.834,0.12
1360,2.83,0.118
